Surname, Name
Sato, Mr. Hakaru
Takahashi, Mr. Haruaki
Tanaka, Mr. Haruhisa
Watanabe, Mr. Haruichi
Ito, Mr. Haruki
Nakamura, Mr. Harukichi
Kobayashi, Mr. Harumitsu
Yamamoto, Mr. Harunobu
Kato, Mr. Harunori
Yoshida, Mr. Haruo
Yamada, Mr. Harutaka
Sasaki, Mr. Haruto
Yamaguchi, Mrs. Kanna
Matsumoto, Mrs. Kanoko
Inoue, Mrs. Kanon
Kimura, Mrs. Kaori
Shimizu, Mrs. Kaoruko
Hayashi, Mrs. Kasumi
Saito, Mrs. Katsuko
Saito, Mrs. Katsura
Yamazaki, Mrs. Kawai
Nakajima, Mrs. Kaya
Nakashima, Mrs. Kayoko
Mori, Mrs. Kazue
Abe, Mrs. Keiki
Ikeda, Mrs. Kiho
Hashimoto, Mrs. Kiko
Ishikawa, Mrs. Kiku
Yamashita, Mrs. Kikue
Ogawa, Mrs. Kikuko
Ishii, Mrs. Kimi
Hasegawa, Mrs. Kimiko
Goto, Mrs. Kinuko
Okada, Mrs. Kira
Kondo, Mrs. Kirari
Maeda, Mrs. Kiriko
Fujita, Mrs. Kiyoko
Endo, Mrs. Koharu
Aoki, Mrs. Komako
Sakamoto, Mrs. Konomi
Murakami, Mrs. Koruri
Ota, Mrs. Kotoe
Kaneko, Mrs. Kou
Fujii, Mrs. Kozue