Surname,Name,Sib Sp,Par Ch
Abbott,Master. Eugene Joseph,0,2
Abbott,Mr. Rossmore Edward,1,1
Abbott,Mrs. Stanton (Rosa Hunt),1,1
Abelson,Mr. Samuel,1,0
Abelson,Mrs. Samuel (Hannah Wizosky),1,0
Ahlin,Mrs. Johan (Johanna Persdotter Larsson),1,0
Aks,Master. Philip Frank,0,1
Aks,Mrs. Sam (Leah Rosen),0,1
Allison,Master. Hudson Trevor,1,2
Allison,Miss. Helen Loraine,1,2
Allison,Mr. Hudson Joshua Creighton,1,2
Allison,Mrs. Hudson J C (Bessie Waldo Daniels),1,2
Andersen-Jensen,Miss. Carla Christine Nielsine,1,0
Andersson,Master. Sigvard Harald Elias,4,2
Andersson,Miss. Ebba Iris Alfrida,4,2
Andersson,Miss. Ellis Anna Maria,4,2
Andersson,Miss. Erna Alexandra,4,2
Andersson,Miss. Ida Augusta Margareta,4,2
Andersson,Miss. Ingeborg Constanzia,4,2
Andersson,Miss. Sigrid Elisabeth,4,2
Andersson,Mr. Anders Johan,1,5
Andersson,Mrs. Anders Johan (Alfrida Konstantia Brogren),1,5
Andrews,Miss. Kornelia Theodosia,1,0
Angle,Mr. William A,1,0
Angle,"Mrs. William A (Florence ""Mary"" Agnes Hughes)",1,0
Appleton,Mrs. Edward Dale (Charlotte Lamson),2,0
Arnold-Franchi,Mr. Josef,1,0
Arnold-Franchi,Mrs. Josef (Josefine Franchi),1,0
Asplund,Master. Carl Edgar,4,2
Asplund,Master. Clarence Gustaf Hugo,4,2
Asplund,Master. Edvin Rojj Felix,4,2
Asplund,Master. Filip Oscar,4,2
Asplund,Miss. Lillian Gertrud,4,2
Asplund,Mr. Carl Oscar Vilhelm Gustafsson,1,5
Asplund,Mrs. Carl Oscar (Selma Augusta Emilia Johansson),1,5
Astor,Col. John Jacob,1,0
Astor,Mrs. John Jacob (Madeleine Talmadge Force),1,0
Backstrom,Mr. Karl Alfred,1,0
Backstrom,Mrs. Karl Alfred (Maria Mathilda Gustafsson),3,0
Baclini,Miss. Eugenie,2,1
Baclini,Miss. Helene Barbara,2,1
Baclini,Miss. Marie Catherine,2,1
Baclini,Mrs. Solomon (Latifa Qurban),0,3
Barbara,Miss. Saiide,0,1
Barbara,Mrs. (Catherine David),0,1
Baxter,Mr. Quigg Edmond,0,1
Baxter,Mrs. James (Helene DeLaudeniere Chaput),0,1
Beane,Mr. Edward,1,0
Beane,Mrs. Edward (Ethel Clarke),1,0
Becker,Master. Richard F,2,1
Becker,Miss. Marion Louise,2,1
Becker,Miss. Ruth Elizabeth,2,1
Becker,Mrs. Allen Oliver (Nellie E Baumgardner),0,3
Beckwith,Mr. Richard Leonard,1,1
Beckwith,Mrs. Richard Leonard (Sallie Monypeny),1,1
Bishop,Mr. Dickinson H,1,0
Bishop,Mrs. Dickinson H (Helen Walton),1,0
Boulos,Master. Akar,1,1
Boulos,Miss. Nourelain,1,1
Boulos,Mrs. Joseph (Sultana),0,2
Bourke,Miss. Mary,0,2
Bourke,Mr. John,1,1
Bourke,Mrs. John (Catherine),1,1
Bowerman,Miss. Elsie Edith,0,1
Braund,Mr. Lewis Richard,1,0
Braund,Mr. Owen Harris,1,0
Brown,Miss. Edith Eileen,0,2
Brown,Mr. Thomas William Solomon,1,1
Brown,Mrs. John Murray (Caroline Lane Lamson),2,0
Brown,Mrs. Thomas William Solomon (Elizabeth Catherine Ford),1,1
Bryhl,Miss. Dagmar Jenny Ingeborg ,1,0
Bryhl,Mr. Kurt Arnold Gottfrid,1,0
Caldwell,Master. Alden Gates,0,2
Caldwell,Mr. Albert Francis,1,1
Caldwell,Mrs. Albert Francis (Sylvia Mae Harbaugh),1,1
Caram,Mr. Joseph,1,0
Caram,Mrs. Joseph (Maria Elias),1,0
Cardeza,Mr. Thomas Drake Martinez,0,1
Cardeza,Mrs. James Warburton Martinez (Charlotte Wardle Drake),0,1
Carter,Master. William Thornton II,1,2
Carter,Miss. Lucile Polk,1,2
Carter,Mr. William Ernest,1,2
Carter,Mrs. Ernest Courtenay (Lilian Hughes),1,0
Carter,Mrs. William Ernest (Lucile Polk),1,2
Carter,Rev. Ernest Courtenay,1,0
Cavendish,Mr. Tyrell William,1,0
Cavendish,Mrs. Tyrell William (Julia Florence Siegel),1,0
Chaffee,Mr. Herbert Fuller,1,0
Chaffee,Mrs. Herbert Fuller (Carrie Constance Toogood),1,0
Chambers,Mr. Norman Campbell,1,0
Chambers,Mrs. Norman Campbell (Bertha Griggs),1,0
Chapman,Mr. John Henry,1,0
Chapman,Mrs. John Henry (Sara Elizabeth Lawry),1,0
Chibnall,Mrs. (Edith Martha Bowerman),0,1
Christy,Miss. Julie Rachel,1,1
Christy,Mrs. (Alice Frances),0,2
Chronopoulos,Mr. Apostolos,1,0
Chronopoulos,Mr. Demetrios,1,0
Clark,Mr. Walter Miller,1,0
Clark,Mrs. Walter Miller (Virginia McDowell),1,0
Clarke,Mr. Charles Valentine,1,0
Clarke,Mrs. Charles V (Ada Maria Winfield),1,0
Collyer,"Miss. Marjorie ""Lottie""",0,2
Collyer,Mr. Harvey,1,1
Collyer,Mrs. Harvey (Charlotte Annie Tate),1,1
Compton,Miss. Sara Rebecca,1,1
Compton,Mr. Alexander Taylor Jr,1,1
Compton,Mrs. Alexander Taylor (Mary Eliza Ingersoll),0,2
Cornell,Mrs. Robert Clifford (Malvina Helen Lamson),2,0
Coutts,"Master. Eden Leslie ""Neville""",1,1
Coutts,"Master. William Loch ""William""",1,1
Coutts,"Mrs. William (Winnie Minnie"" Treanor)""",0,2
Cribb,Miss. Laura Alice,0,1
Cribb,Mr. John Hatfield,0,1
Crosby,Capt. Edward Gifford,1,1
Crosby,Miss. Harriet R,0,2
Crosby,Mrs. Edward Gifford (Catherine Elizabeth Halstead),1,1
Cumings,Mr. John Bradley,1,0
Cumings,Mrs. John Bradley (Florence Briggs Thayer),1,0
Danbom,Master. Gilbert Sigvard Emanuel,0,2
Danbom,Mr. Ernst Gilbert,1,1
Danbom,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren),1,1
Davidson,Mr. Thornton,1,0
Davidson,Mrs. Thornton (Orian Hays),1,2
Davies,Master. John Morgan Jr,1,1
Davies,Mr. Alfred J,2,0
Davies,Mr. John Samuel,2,0
Davies,Mr. Joseph,2,0
Davies,Mrs. John Morgan (Elizabeth Agnes Mary White) ,0,2
Davison,Mr. Thomas Henry,1,0
Davison,Mrs. Thomas Henry (Mary E Finck),1,0
Dean,Master. Bertram Vere,1,2
Dean,"Miss. Elizabeth Gladys Millvina""""",1,2
Dean,Mr. Bertram Frank,1,2
Dean,Mrs. Bertram (Eva Georgetta Light),1,2
Dick,Mr. Albert Adrian,1,0
Dick,Mrs. Albert Adrian (Vera Gillespie),1,0
Dodge,Dr. Washington,1,1
Dodge,Master. Washington,0,2
Dodge,Mrs. Washington (Ruth Vidaver),1,1
Doling,Miss. Elsie,0,1
Doling,Mrs. John T (Ada Julia Bone),0,1
Douglas,Mr. Walter Donald,1,0
Douglas,Mrs. Frederick Charles (Mary Helene Baxter),1,1
Douglas,Mrs. Walter Donald (Mahala Dutton),1,0
Drew,Master. Marshall Brines,0,2
Drew,Mr. James Vivian,1,1
Drew,Mrs. James Vivian (Lulu Thorne Christian),1,1
Duff Gordon,"Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,0
Duff Gordon,"Sir. Cosmo Edmund (""Mr Morgan"")",1,0
Duran y More,Miss. Asuncion,1,0
Duran y More,Miss. Florentina,1,0
Dyker,Mr. Adolf Fredrik,1,0
Dyker,Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson),1,0
Earnshaw,Mrs. Boulton (Olive Potter),0,1
Elias,Mr. Joseph,0,2
Elias,Mr. Joseph Jr,1,1
Elias,Mr. Tannous,1,1
Eustis,Miss. Elizabeth Mussey,1,0
Faunthorpe,Mr. Harry,1,0
Faunthorpe,Mrs. Lizzie (Elizabeth Anne Wilkinson),1,0
Ford,"Miss. Doolina Margaret ""Daisy""",2,2
Ford,"Miss. Robina Maggie ""Ruby""",2,2
Ford,Mr. Edward Watson,2,2
Ford,Mr. William Neal,1,3
Ford,Mrs. Edward (Margaret Ann Watson),1,3
Fortune,Miss. Alice Elizabeth,3,2
Fortune,Miss. Ethel Flora,3,2
Fortune,Miss. Mabel Helen,3,2
Fortune,Mr. Charles Alexander,3,2
Fortune,Mr. Mark,1,4
Fortune,Mrs. Mark (Mary McDougald),1,4
Frauenthal,Dr. Henry William,2,0
Frauenthal,Mr. Isaac Gerald,1,0
Frauenthal,Mrs. Henry William (Clara Heinsheimer),1,0
Frolicher,Miss. Hedwig Margaritha,0,2
Frolicher-Stehli,Mr. Maxmillian,1,1
Frolicher-Stehli,Mrs. Maxmillian (Margaretha Emerentia Stehli),1,1
Futrelle,Mr. Jacques Heath,1,0
Futrelle,Mrs. Jacques Heath (Lily May Peel),1,0
Gale,Mr. Harry,1,0
Gale,Mr. Shadrach,1,0
Gibson,Miss. Dorothy Winifred,0,1
Gibson,Mrs. Leonard (Pauline C Boeson),0,1
Giles,Mr. Edgar,1,0
Giles,Mr. Frederick Edward,1,0
Goldenberg,Mr. Samuel L,1,0
Goldenberg,Mrs. Samuel L (Edwiga Grabowska),1,0
Goldsmith,"Master. Frank John William ""Frankie""",0,2
Goldsmith,Mr. Frank John,1,1
Goldsmith,Mrs. Frank John (Emily Alice Brown),1,1
Goodwin,Master. Harold Victor,5,2
Goodwin,Master. Sidney Leonard,5,2
Goodwin,Master. William Frederick,5,2
Goodwin,Miss. Jessie Allis,5,2
Goodwin,Miss. Lillian Amy,5,2
Goodwin,Mr. Charles Edward,5,2
Goodwin,Mr. Charles Frederick,1,6
Goodwin,Mrs. Frederick (Augusta Tyler),1,6
Graham,Mr. George Edward,0,1
Graham,Mrs. William Thompson (Edith Junkins),0,1
Greenfield,Mr. William Bertram,0,1
Greenfield,Mrs. Leo David (Blanche Strouse),0,1
Gustafsson,Mr. Anders Vilhelm,2,0
Gustafsson,Mr. Johan Birger,2,0
Hagland,Mr. Ingvald Olai Olsen,1,0
Hagland,Mr. Konrad Mathias Reiersen,1,0
Hakkarainen,Mr. Pekka Pietari,1,0
Hakkarainen,Mrs. Pekka Pietari (Elin Matilda Dolck),1,0
Hamalainen,Master. Viljo,1,1
Hamalainen,Mrs. William (Anna),0,2
Hansen,Mr. Claus Peter,2,0
Hansen,Mr. Henrik Juul,1,0
Hansen,Mrs. Claus Peter (Jennie L Howard),1,0
Harder,Mr. George Achilles,1,0
Harder,Mrs. George Achilles (Dorothy Annan),1,0
Harper,"Miss. Annie Jessie ""Nina""",0,1
Harper,Mr. Henry Sleeper,1,0
Harper,Mrs. Henry Sleeper (Myna Haxtun),1,0
Harper,Rev. John,0,1
Harris,Mr. Henry Birkhardt,1,0
Harris,Mrs. Henry Birkhardt (Irene Wallach),1,0
Hart,Miss. Eva Miriam,0,2
Hart,Mr. Benjamin,1,1
Hart,Mrs. Benjamin (Esther Ada Bloomfield),1,1
Hays,Mr. Charles Melville,1,1
Hays,Mrs. Charles Melville (Clara Jennings Gregg),1,1
Herman,Miss. Alice,1,2
Herman,Miss. Kate,1,2
Herman,Mr. Samuel,1,2
Herman,Mrs. Samuel (Jane Laver),1,2
Hickman,Mr. Leonard Mark,2,0
Hickman,Mr. Lewis,2,0
Hickman,Mr. Stanley George,2,0
Hiltunen,Miss. Marta,1,1
Hippach,Miss. Jean Gertrude,0,1
Hippach,Mrs. Louis Albert (Ida Sophia Fischer),0,1
Hirvonen,Miss. Hildur E,0,1
Hirvonen,Mrs. Alexander (Helga E Lindqvist),1,1
Hocking,"Miss. Ellen Nellie""""",2,1
Hocking,Mr. Richard George,2,1
Hocking,Mrs. Elizabeth (Eliza Needs),1,3
Hogeboom,Mrs. John C (Anna Andrews),1,0
Hold,Mr. Stephen,1,0
Hold,Mrs. Stephen (Annie Margaret Hill),1,0
Holverson,Mr. Alexander Oskar,1,0
Holverson,Mrs. Alexander Oskar (Mary Aline Towner),1,0
Howard,Mr. Benjamin,1,0
Howard,Mrs. Benjamin (Ellen Truelove Arman),1,0
Hoyt,Mr. Frederick Maxfield,1,0
Hoyt,Mrs. Frederick Maxfield (Jane Anne Forby),1,0
Ilmakangas,Miss. Ida Livija,1,0
Ilmakangas,Miss. Pieta Sofia,1,0
Jacobsohn,Mr. Sidney Samuel,1,0
Jacobsohn,Mrs. Sidney Samuel (Amy Frances Christy),2,1
Jefferys,Mr. Clifford Thomas,2,0
Jefferys,Mr. Ernest Wilfred,2,0
Jensen,Mr. Svend Lauritz,1,0
Johnson,Master. Harold Theodor,1,1
Johnson,Miss. Eleanor Ileen,1,1
Johnson,Mrs. Oscar W (Elisabeth Vilhelmina Berg),0,2
Johnston,"Master. William Arthur Willie""""",1,2
Johnston,"Miss. Catherine Helen ""Carrie""",1,2
Johnston,Mr. Andrew G,1,2
Johnston,"Mrs. Andrew G (Elizabeth Lily"" Watson)""",1,2
Jussila,Miss. Katriina,1,0
Jussila,Miss. Mari Aina,1,0
Kantor,Mr. Sinai,1,0
Kantor,Mrs. Sinai (Miriam Sternin),1,0
Karun,Miss. Manca,0,1
Karun,Mr. Franz,0,1
Kenyon,Mr. Frederick R,1,0
Kenyon,Mrs. Frederick R (Marion),1,0
Khalil,Mr. Betros,1,0
Khalil,"Mrs. Betros (Zahie Maria"" Elias)""",1,0
Kiernan,Mr. John,1,0
Kiernan,Mr. Philip,1,0
Kimball,Mr. Edwin Nelson Jr,1,0
Kimball,Mrs. Edwin Nelson Jr (Gertrude Parsons),1,0
Kink,Miss. Maria,2,0
Kink,Mr. Vincenz,2,0
Kink-Heilmann,Miss. Luise Gretchen,0,2
Kink-Heilmann,Mr. Anton,3,1
Kink-Heilmann,Mrs. Anton (Luise Heilmann),1,1
Klasen,Miss. Gertrud Emilia,1,1
Klasen,Mr. Klas Albin,1,1
Klasen,Mrs. (Hulda Kristina Eugenia Lofqvist),0,2
Lahtinen,Mrs. William (Anna Sylfven),1,1
Lahtinen,Rev. William,1,1
Laroche,Miss. Louise,1,2
Laroche,Miss. Simonne Marie Anne Andree,1,2
Laroche,Mr. Joseph Philippe Lemercier,1,2
Laroche,Mrs. Joseph (Juliette Marie Louise Lafargue),1,2
Lefebre,Master. Henry Forbes,3,1
Lefebre,Miss. Ida,3,1
Lefebre,Miss. Jeannie,3,1
Lefebre,Miss. Mathilde,3,1
Lefebre,Mrs. Frank (Frances),0,4
Lennon,Miss. Mary,1,0
Lennon,Mr. Denis,1,0
Lindell,Mr. Edvard Bengtsson,1,0
Lindell,Mrs. Edvard Bengtsson (Elin Gerda Persson),1,0
Lindqvist,Mr. Eino William,1,0
Lines,Miss. Mary Conover,0,1
Lines,Mrs. Ernest H (Elizabeth Lindsey James),0,1
Lobb,Mr. William Arthur,1,0
Lobb,Mrs. William Arthur (Cordelia K Stanlick),1,0
Louch,Mr. Charles Alexander,1,0
Louch,Mrs. Charles Alexander (Alice Adelaide Slow),1,0
Madill,Miss. Georgette Alexandra,0,1
Mallet,Master. Andre,0,2
Mallet,Mr. Albert,1,1
Mallet,Mrs. Albert (Antoinette Magnin),1,1
Marvin,Mr. Daniel Warner,1,0
Marvin,Mrs. Daniel Warner (Mary Graham Carmichael Farquarson),1,0
McCoy,Miss. Agnes,2,0
McCoy,Miss. Alicia,2,0
McCoy,Mr. Bernard,2,0
McNamee,Mr. Neal,1,0
McNamee,Mrs. Neal (Eileen O'Leary),1,0
Mellinger,Miss. Madeleine Violet,0,1
Mellinger,Mrs. (Elizabeth Anne Maidment),0,1
Meyer,Mr. Edgar Joseph,1,0
Meyer,Mrs. Edgar Joseph (Leila Saks),1,0
Minahan,Dr. William Edward,2,0
Minahan,Miss. Daisy E,1,0
Minahan,Mrs. William Edward (Lillian E Thorpe),1,0
Mock,Mr. Philipp Edmund,1,0
Moor,Master. Meier,0,1
Moor,Mrs. (Beila),0,1
Moran,Miss. Bertha,1,0
Moran,Mr. Daniel J,1,0
Moubarek,Master. Gerios,1,1
Moubarek,"Master. Halim Gonios (""William George"")",1,1
Moubarek,"Mrs. George (Omine Amenia"" Alexander)""",0,2
Murphy,"Miss. Katherine ""Kate""",1,0
Murphy,Miss. Margaret Jane,1,0
Nakid,"Miss. Maria (""Mary"")",0,2
Nakid,Mr. Sahid,1,1
Nakid,"Mrs. Said (Waika Mary"" Mowad)""",1,1
Nasser,Mr. Nicholas,1,0
Nasser,Mrs. Nicholas (Adele Achem),1,0
Natsch,Mr. Charles H,0,1
Navratil,Master. Edmond Roger,1,1
Navratil,Master. Michel M,1,1
Navratil,"Mr. Michel (""Louis M Hoffman"")",0,2
Newell,Miss. Madeleine,1,0
Newell,Miss. Marjorie,1,0
Newell,Mr. Arthur Webster,0,2
Newsom,Miss. Helen Monypeny,0,2
Nicholls,Mr. Joseph Charles,1,1
Nicola-Yarred,Master. Elias,1,0
Nicola-Yarred,Miss. Jamila,1,0
O'Brien,Mr. Thomas,1,0
O'Brien,"Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,0
Olsen,Master. Artur Karl,0,1
Olsen,Mr. Karl Siegwart Andreas,0,1
Ostby,Miss. Helene Ragnhild,0,1
Ostby,Mr. Engelhart Cornelius,0,1
Palsson,Master. Gosta Leonard,3,1
Palsson,Master. Paul Folke,3,1
Palsson,Miss. Stina Viola,3,1
Palsson,Miss. Torborg Danira,3,1
Palsson,Mrs. Nils (Alma Cornelia Berglund),0,4
Panula,Master. Eino Viljami,4,1
Panula,Master. Juha Niilo,4,1
Panula,Master. Urho Abraham,4,1
Panula,Mr. Ernesti Arvid,4,1
Panula,Mr. Jaako Arnold,4,1
Panula,Mrs. Juha (Maria Emilia Ojala),0,5
Parrish,Mrs. (Lutie Davis),0,1
Peacock,Master. Alfred Edward,1,1
Peacock,Miss. Treasteall,1,1
Peacock,Mrs. Benjamin (Edith Nile),0,2
Pears,Mr. Thomas Clinton,1,0
Pears,Mrs. Thomas (Edith Wearne),1,0
Penasco y Castellana,Mr. Victor de Satode,1,0
Penasco y Castellana,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),1,0
Persson,Mr. Ernst Ulrik,1,0
Peter,Master. Michael J,1,1
Peter,Miss. Anna,1,1
Peter,Mrs. Catherine (Catherine Rizk),0,2
Petterson,Mr. Johan Emil,1,0
Phillips,Miss. Alice Frances Louisa,0,1
Phillips,Mr. Escott Robert,0,1
Potter,Mrs. Thomas Jr (Lily Alexenia Wilson),0,1
Quick,Miss. Phyllis May,1,1
Quick,Miss. Winifred Vera,1,1
Quick,Mrs. Frederick Charles (Jane Richards),0,2
Renouf,Mr. Peter Henry,1,0
Renouf,Mrs. Peter Henry (Lillian Jefferys),3,0
Rice,Master. Albert,4,1
Rice,Master. Arthur,4,1
Rice,Master. Eric,4,1
Rice,Master. Eugene,4,1
Rice,Master. George Hugh,4,1
Rice,Mrs. William (Margaret Norton),0,5
Richards,Master. George Sibley,1,1
Richards,Master. William Rowe,1,1
Richards,Mrs. Sidney (Emily Hocking),2,3
Robert,Mrs. Edward Scott (Elisabeth Walton McMillan),0,1
Robins,Mr. Alexander A,1,0
Robins,Mrs. Alexander A (Grace Charity Laury),1,0
Rosblom,Miss. Salli Helena,1,1
Rosblom,Mr. Viktor Richard,1,1
Rosblom,Mrs. Viktor (Helena Wilhelmina),0,2
Rothschild,Mr. Martin,1,0
Rothschild,Mrs. Martin (Elizabeth L. Barrett),1,0
Ryerson,Master. John Borie,2,2
Ryerson,Miss. Emily Borie,2,2
Ryerson,"Miss. Susan Parker ""Suzette""",2,2
Ryerson,Mr. Arthur Larned,1,3
Ryerson,Mrs. Arthur Larned (Emily Maria Borie),1,3
Sage,Master. Thomas Henry,8,2
Sage,Master. William Henry,8,2
Sage,Miss. Ada,8,2
Sage,Miss. Constance Gladys,8,2
Sage,"Miss. Dorothy Edith ""Dolly""",8,2
Sage,Miss. Stella Anna,8,2
Sage,Mr. Douglas Bullen,8,2
Sage,Mr. Frederick,8,2
Sage,Mr. George John Jr,8,2
Sage,Mr. John George,1,9
Sage,Mrs. John (Annie Bullen),1,9
Samaan,Mr. Elias,2,0
Samaan,Mr. Hanna,2,0
Samaan,Mr. Youssef,2,0
Sandstrom,Miss. Beatrice Irene,1,1
Sandstrom,Miss. Marguerite Rut,1,1
Sandstrom,Mrs. Hjalmar (Agnes Charlotta Bengtsson),0,2
Schabert,Mrs. Paul (Emma Mock),1,0
Shelley,Mrs. William (Imanita Parrish Hall),0,1
Silven,Miss. Lyyli Karoliina,0,2
Silvey,Mr. William Baird,1,0
Silvey,Mrs. William Baird (Alice Munger),1,0
Skoog,Master. Harald,3,2
Skoog,Master. Karl Thorsten,3,2
Skoog,Miss. Mabel,3,2
Skoog,Miss. Margit Elizabeth,3,2
Skoog,Mr. Wilhelm,1,4
Skoog,Mrs. William (Anna Bernhardina Karlsson),1,4
Smith,Mr. Lucien Philip,1,0
Smith,Mrs. Lucien Philip (Mary Eloise Hughes),1,0
Snyder,Mr. John Pillsbury,1,0
Snyder,Mrs. John Pillsbury (Nelle Stevenson),1,0
Spedden,Master. Robert Douglas,0,2
Spedden,Mr. Frederic Oakley,1,1
Spedden,Mrs. Frederic Oakley (Margaretta Corning Stone),1,1
Spencer,Mr. William Augustus,1,0
Spencer,Mrs. William Augustus (Marie Eugenie),1,0
Stengel,Mr. Charles Emil Henry,1,0
Stengel,Mrs. Charles Emil Henry (Annie May Morris),1,0
Stephenson,Mrs. Walter Bertram (Martha Eustis),1,0
Straus,Mr. Isidor,1,0
Straus,Mrs. Isidor (Rosalie Ida Blun),1,0
Strom,Miss. Telma Matilda,0,1
Strom,Mrs. Wilhelm (Elna Matilda Persson),1,1
Taussig,Miss. Ruth,0,2
Taussig,Mr. Emil,1,1
Taussig,Mrs. Emil (Tillie Mandelbaum),1,1
Taylor,Mr. Elmer Zebley,1,0
Taylor,Mrs. Elmer Zebley (Juliet Cummins Wright),1,0
Thayer,Mr. John Borland,1,1
Thayer,Mr. John Borland Jr,0,2
Thayer,Mrs. John Borland (Marian Longstreth Morris),1,1
Thomas,Master. Assad Alexander,0,1
Thomas,Mr. Charles P,1,0
Thomas,"Mrs. Alexander (Thamine Thelma"")""",1,1
Thorneycroft,Mr. Percival,1,0
Thorneycroft,Mrs. Percival (Florence Kate White),1,0
Touma,Master. Georges Youssef,1,1
Touma,Miss. Maria Youssef,1,1
Touma,Mrs. Darwis (Hanne Youssef Razi),0,2
Turpin,Mr. William John Robert,1,0
Turpin,Mrs. William John Robert (Dorothy Ann Wonnacott),1,0
Van Impe,Miss. Catharina,0,2
Van Impe,Mr. Jean Baptiste,1,1
Van Impe,Mrs. Jean Baptiste (Rosalie Paula Govaert),1,1
Vander Planke,Miss. Augusta Maria,2,0
Vander Planke,Mr. Julius,3,0
Vander Planke,Mr. Leo Edmondus,2,0
Vander Planke,Mrs. Julius (Emelia Maria Vandemoortele),1,0
Ware,Mr. John James,1,0
Ware,Mr. William Jeffery,1,0
Warren,Mr. Frank Manley,1,0
Warren,Mrs. Frank Manley (Anna Sophia Atkinson),1,0
Weisz,Mr. Leopold,1,0
Weisz,Mrs. Leopold (Mathilde Francoise Pede),1,0
Wells,Master. Ralph Lester,1,1
Wells,Miss. Joan,1,1
Wells,"Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",0,2
West,Miss. Barbara J,1,2
West,Miss. Constance Mirium,1,2
West,Mr. Edwy Arthur,1,2
West,Mrs. Edwy Arthur (Ada Mary Worth),1,2
White,Mr. Percival Wayland,0,1
White,Mr. Richard Frasar,0,1
Wick,Miss. Mary Natalie,0,2
Wick,Mr. George Dennick,1,1
Wick,Mrs. George Dennick (Mary Hitchcock),1,1
Widener,Mr. George Dunton,1,1
Widener,Mr. Harry Elkins,0,2
Widener,Mrs. George Dunton (Eleanor Elkins),1,1
Wiklund,Mr. Jakob Alfred,1,0
Wiklund,Mr. Karl Johan,1,0
Wilkes,Mrs. James (Ellen Needs),1,0
Williams,Mr. Charles Duane,0,1
Williams,Mr. Richard Norris II,0,1
Yasbeck,Mr. Antoni,1,0
Yasbeck,Mrs. Antoni (Selini Alexander),1,0
Zabour,Miss. Hileni,1,0
Zabour,Miss. Thamine,1,0
de Messemaeker,Mr. Guillaume Joseph,1,0
de Messemaeker,Mrs. Guillaume Joseph (Emma),1,0
del Carlo,Mr. Sebastiano,1,0
del Carlo,Mrs. Sebastiano (Argenia Genovesi),1,0
van Billiard,Master. James William,1,1
van Billiard,Master. Walter John,1,1
van Billiard,Mr. Austin Blyler,0,2
